  1.3693E+01   1.0078E-04   1.8235E-04 
  4.1079E+01   3.4032E-04   5.4160E-04 
  6.8465E+01   5.8825E-04   8.8478E-04 
  9.5851E+01   8.0990E-04   1.2021E-03 
  1.2324E+02   1.0378E-03   1.4849E-03 
  1.5062E+02   1.1736E-03   1.7264E-03 
  1.7801E+02   1.3708E-03   1.9215E-03 
  2.0540E+02   1.5194E-03   2.0672E-03 
  2.3278E+02   1.6735E-03   2.1627E-03 
  2.6017E+02   1.6779E-03   2.2091E-03 
  2.8755E+02   1.7458E-03   2.2093E-03 
  3.1494E+02   1.7622E-03   2.1677E-03 
  3.4233E+02   1.6976E-03   2.0897E-03 
  3.6971E+02   1.6808E-03   1.9818E-03 
  3.9710E+02   1.6351E-03   1.8505E-03 
  4.2448E+02   1.5278E-03   1.7026E-03 
  4.5187E+02   1.4726E-03   1.5444E-03 
  4.7926E+02   1.3744E-03   1.3820E-03 
  5.0664E+02   1.2963E-03   1.2203E-03 
  5.3403E+02   1.1915E-03   1.0637E-03 
  5.6142E+02   1.0542E-03   9.1551E-04 
  5.8880E+02   9.7677E-04   7.7830E-04 
  6.1619E+02   8.9425E-04   6.5365E-04 
  6.4357E+02   7.9091E-04   5.4243E-04 
  6.7096E+02   7.4527E-04   4.4485E-04 
  6.9835E+02   6.4595E-04   3.6059E-04 
  7.2573E+02   5.9556E-04   2.8893E-04 
  7.5312E+02   5.3056E-04   2.2889E-04 
  7.8050E+02   4.8163E-04   1.7928E-04 
  8.0789E+02   4.3014E-04   1.3886E-04 
  8.3528E+02   3.9436E-04   1.0635E-04 
  8.6266E+02   3.5237E-04   8.0563E-05 
  8.9005E+02   3.1512E-04   6.0358E-05 
  9.1744E+02   2.8482E-04   4.4728E-05 
  9.4482E+02   2.5232E-04   3.2786E-05 
  9.7221E+02   2.4501E-04   2.3774E-05 
  9.9959E+02   2.0485E-04   1.7054E-05 
  1.0270E+03   1.7673E-04   1.2102E-05 
  1.0544E+03   1.7418E-04   8.4970E-06 
  1.0818E+03   1.5117E-04   5.9024E-06 
  1.1091E+03   1.3584E-04   4.0566E-06 
  1.1365E+03   1.1867E-04   2.7587E-06 
  1.1639E+03   1.0626E-04   1.8562E-06 
  1.1913E+03   1.0699E-04   1.2359E-06 
  1.2187E+03   8.7270E-05   8.1428E-07 
  1.2461E+03   7.7777E-05   5.3087E-07 
  1.2735E+03   6.9013E-05   3.4250E-07 
  1.3008E+03   5.0025E-05   2.1866E-07 
  1.3282E+03   5.2581E-05   1.3815E-07 
  1.3556E+03   3.3813E-04   8.6382E-08 
