  8.6603E-01   1.0200E-04   2.8831E-03 
  2.5981E+00   2.9381E-04   8.5634E-03 
  4.3301E+00   4.7599E-04   1.3990E-02 
  6.0622E+00   6.7871E-04   1.9007E-02 
  7.7942E+00   8.7436E-04   2.3479E-02 
  9.5263E+00   1.0104E-03   2.7297E-02 
  1.1258E+01   1.1547E-03   3.0381E-02 
  1.2990E+01   1.3850E-03   3.2686E-02 
  1.4722E+01   1.5845E-03   3.4196E-02 
  1.6454E+01   1.7994E-03   3.4929E-02 
  1.8187E+01   1.9316E-03   3.4932E-02 
  1.9919E+01   2.1272E-03   3.4274E-02 
  2.1651E+01   2.3043E-03   3.3041E-02 
  2.3383E+01   2.4467E-03   3.1334E-02 
  2.5115E+01   2.6789E-03   2.9259E-02 
  2.6847E+01   2.7706E-03   2.6920E-02 
  2.8579E+01   2.9342E-03   2.4420E-02 
  3.0311E+01   3.1280E-03   2.1851E-02 
  3.2043E+01   3.3916E-03   1.9294E-02 
  3.3775E+01   3.4769E-03   1.6818E-02 
  3.5507E+01   3.6424E-03   1.4475E-02 
  3.7239E+01   3.7714E-03   1.2306E-02 
  3.8971E+01   3.9228E-03   1.0335E-02 
  4.0703E+01   4.1101E-03   8.5765E-03 
  4.2435E+01   4.2724E-03   7.0336E-03 
  4.4167E+01   4.3712E-03   5.7014E-03 
  4.5899E+01   4.5136E-03   4.5684E-03 
  4.7631E+01   4.5867E-03   3.6191E-03 
  4.9363E+01   4.7311E-03   2.8347E-03 
  5.1095E+01   4.9492E-03   2.1955E-03 
  5.2828E+01   4.9537E-03   1.6816E-03 
  5.4560E+01   4.9877E-03   1.2738E-03 
  5.6292E+01   5.1833E-03   9.5434E-04 
  5.8024E+01   5.3431E-03   7.0721E-04 
  5.9756E+01   5.3944E-03   5.1840E-04 
  6.1488E+01   5.4919E-03   3.7590E-04 
  6.3220E+01   5.5875E-03   2.6964E-04 
  6.4952E+01   5.5567E-03   1.9135E-04 
  6.6684E+01   5.8024E-03   1.3435E-04 
  6.8416E+01   5.9018E-03   9.3325E-05 
  7.0148E+01   5.8851E-03   6.4141E-05 
  7.1880E+01   5.9166E-03   4.3618E-05 
  7.3612E+01   5.9101E-03   2.9350E-05 
  7.5344E+01   5.9627E-03   1.9542E-05 
  7.7076E+01   6.1513E-03   1.2875E-05 
  7.8808E+01   6.1623E-03   8.3938E-06 
  8.0540E+01   6.1975E-03   5.4153E-06 
  8.2272E+01   6.3040E-03   3.4574E-06 
  8.4004E+01   6.3470E-03   2.1844E-06 
  8.5737E+01   3.8889E-01   1.3658E-06 
