   8.3413738E-01     1.7184890E-02  
   8.3362654E-01     1.6752903E-02  
   8.3311299E-01     1.6300220E-02  
   8.3099949E-01     1.8365028E-02  
   8.2876523E-01     2.0574115E-02  
   8.2792847E-01     2.1153763E-02  
   8.2721432E-01     2.1591783E-02  
   8.2649620E-01     2.2035343E-02  
   8.2611717E-01     2.3023932E-02  
   8.2537634E-01     2.4340326E-02  
   8.2451417E-01     2.5599880E-02  
   8.2373700E-01     2.6479337E-02  
   8.2337566E-01     2.6042608E-02  
   8.2235923E-01     2.7773496E-02  
   8.2201137E-01     3.1896405E-02  
   8.2235996E-01     2.9954925E-02  
   8.2157439E-01     2.8912106E-02  
   8.1940161E-01     2.8824929E-02  
   8.1858943E-01     2.6501827E-02  
   8.1895511E-01     2.6163295E-02  
   8.1711037E-01     2.5541210E-02  
   8.1426878E-01     2.5051539E-02  
   8.1278187E-01     2.5679354E-02  
   8.1182199E-01     2.6944796E-02  
   8.1100582E-01     2.8327917E-02  
   8.1015681E-01     2.9766680E-02  
   8.0963441E-01     3.0551530E-02  
   8.0937880E-01     3.0849927E-02  
   8.0912217E-01     3.1154382E-02  
   8.0886590E-01     3.1458402E-02  
   8.0860882E-01     3.1763375E-02  
   8.0835065E-01     3.2069660E-02  
   8.0809427E-01     3.2373811E-02  
   8.0797346E-01     3.2516398E-02  
   8.0938977E-01     3.0685534E-02  
   8.0949867E-01     3.0592872E-02  
   8.1083261E-01     3.0886328E-02  
   8.1205027E-01     3.0170249E-02  
   8.1326934E-01     2.9443355E-02  
   8.1458612E-01     2.8658198E-02  
   8.1593198E-01     2.7855702E-02  
   8.1724736E-01     2.7071386E-02  
   8.1827818E-01     2.6421263E-02  
   8.1748000E-01     2.6543862E-02  
   8.1654178E-01     2.6676062E-02  
   8.1592249E-01     2.6367011E-02  
   8.1616012E-01     2.4945617E-02  
   8.1474480E-01     2.4033307E-02  
   8.1364665E-01     2.3295520E-02  
   8.1441713E-01     2.3370899E-02  
   8.1465076E-01     2.2772487E-02  
   8.1506004E-01     2.1917143E-02  
